ID_Cabang,Nama_Cabang,URL_Maps,Alamat,Kota_Kabupaten,Provinsi,Rating,Jumlah_Review,Kategori,Jam_Operasional,Telepon,Website,Status_Tempat,Status_IMB,Sewa_Berakhir,Sisa_Hari_Sewa,Status_Halal,Tingkat_Sengketa,Sewa_Tahunan_IDR,Tingkat_Sengketa_Encoded,Status_IMB_Encoded,Status_Halal_Encoded,Kategori_Encoded,Prediksi_Tingkat_Sengketa
GCN-0001,Mie Gacoan- Ulee Kareng,https://www.google.com/maps/place/Mie+Gacoan-+Ulee+kareng/data=!4m7!3m6!1s0x3040370077cb5c07:0x7cc01d66a7f8e440!8m2!3d5.5548479!4d95.3447947!16s%2Fg%2F11vzrp6_bh!19sChIJB1zLdwA3QDARQOT4p2YdwHw?authuser=0&hl=id&rclk=1,"Jl. P. Nyak Makam No.21, Doi, Ulee Kareng, Banda Aceh City, Aceh 23127",Kota Banda Aceh,Aceh,4.8,35,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-10-12,880,Proses Perpanjangan,Low,480000000,0,0,1,0,Low
GCN-0002,Mie Gacoan Aceh Batoh,https://www.google.com/maps/place/Mie+Gacoan+Aceh+Batoh/data=!4m7!3m6!1s0x3040372023705be9:0x6868aed7222700a!8m2!3d5.5280607!4d95.3305347!16s%2Fg%2F11xftm1c0w!19sChIJ6VtwIyA3QDARCnAicu2KhgY?authuser=0&hl=id&rclk=1,"Jl. Dr. Mr. Mohd Hasan No.10B, Landom, Kec. Lueng Bata, Kota Banda Aceh, Aceh 23245",Kota Banda Aceh,Aceh,4.8,35,Restoran Mie,Buka 24 jam,0897-9192-129,Tidak Ada,Buka,Approved,2028-12-02,931,Tersertifikasi,Medium,380000000,1,0,2,0,Medium
GCN-0003,Mie Gacoan Aceh Tamiang,https://www.google.com/maps/place/Mie+Gacoan+Aceh+Tamiang/data=!4m7!3m6!1s0x303775f716653ab1:0xb154114e0043d2d6!8m2!3d4.2909198!4d98.0502091!16s%2Fg%2F11mrbw287j!19sChIJsTplFvd1NzAR1tJDAE4RVLE?authuser=0&hl=id&rclk=1,"Jl. Ir. H. Juanda Dalam, Gampong Bundar, Kec. Karang Baru, Kabupaten Aceh Tamiang, Aceh 24476",Kabupaten Aceh Tamiang,Aceh,4.9,35,Restoran Mie,Buka 24 jam,0895-6006-60001,Tidak Ada,Buka,Approved,2027-12-11,574,Tersertifikasi,Low,680000000,0,0,2,0,Low
GCN-0004,Mie Gacoan Lhokseumawe,https://www.google.com/maps/place/Mie+Gacoan+Lhokseumawe/data=!4m7!3m6!1s0x304783002385c9ed:0x8153c6c423ce5483!8m2!3d5.1704431!4d97.1333489!16s%2Fg%2F11ykpnmycf!19sChIJ7cmFIwCDRzARg1TOI8TGU4E?authuser=0&hl=id&rclk=1,"54Cm+58H, Uteun Kot, Kec. Muara Dua, Kota Lhokseumawe, Aceh",Kota Lhokseumawe,Aceh,4.9,35,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Bermasalah,2028-08-20,827,Tersertifikasi,Low,360000000,0,1,2,0,Low
GCN-0005,Mie Gacoan,https://www.google.com/maps/place/Mie+GACOAN/data=!4m7!3m6!1s0x303ec30073e41a4b:0xcee8be47268e2420!8m2!3d4.1488088!4d96.1236213!16s%2Fg%2F11mdcll44y!19sChIJSxrkcwDDPjARICSOJke-6M4?authuser=0&hl=id&rclk=1,"44Xf+Jcv, Jl. Manek Roo, Kuta Padang, Kec. Johan Pahlawan, Kabupaten Aceh Barat, Aceh 23612",Kabupaten Aceh Barat,Aceh,4.9,8,Restoran Mie,07.00 hingga 03.00,Tidak Ada,Tidak Ada,Buka,Approved,2028-07-15,791,Tersertifikasi,Low,660000000,0,0,2,0,Low
GCN-0006,Mie Gacoan Bireuen,https://www.google.com/maps/place/Mie+Gacoan+Bireuen/data=!4m7!3m6!1s0x304743001dbd16c9:0xa15609a6bc1d21bb!8m2!3d5.1971471!4d96.7028938!16s%2Fg%2F11xfs2302x!19sChIJyRa9HQBDRzARuyEdvKYJVqE?authuser=0&hl=id&rclk=1,"Jl. Raya Bireuen - Takengon, Bireun Meunasah Capa, Kec. Kota Juang, Kabupaten Bireuen, Aceh",Kota Juang,Aceh,4.9,35,Restoran Mie,07.00 hingga 03.00,0899-1130-001,Tidak Ada,Buka,Approved,2028-01-12,606,Proses Perpanjangan,Low,720000000,0,0,1,0,Low
GCN-0007,Mie Gacoan Langsa,https://www.google.com/maps/place/Mie+Gacoan+Langsa/data=!4m7!3m6!1s0x303785002ee8f569:0x15df0934f896d713!8m2!3d4.4801819!4d97.9554058!16s%2Fg%2F11ww6hdr5k!19sChIJafXoLgCFNzARE9eW-DQJ3xU?authuser=0&hl=id&rclk=1,"Jl. Jenderal Ahmad Yani, Paya Bujok Tunong, Kec. Langsa Baro, Kota Langsa, Aceh 24375",Kota Langsa,Aceh,4.8,35,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2026-05-03,0,Tersertifikasi,Low,390000000,0,0,2,0,Low
GCN-0008,Bakmi 88 & Mie Gacoan,https://www.google.com/maps/place/Bakmi+88+%26+Mie+Gacoan/data=!4m7!3m6!1s0x304037ecc1d16b2f:0xae9002a9fb587e1b!8m2!3d5.5739332!4d95.3497303!16s%2Fg%2F11l1mprc89!19sChIJL2vRwew3QDARG35Y-6kCkK4?authuser=0&hl=id&rclk=1,"Jl. Prada No.14, Lamgugob, Kec. Syiah Kuala, Kota Banda Aceh, Aceh 24415",Kota Banda Aceh,Aceh,4.7,35,Restoran Mie,11.00 hingga 21.00,Tidak Ada,Tidak Ada,Buka,Approved,2028-03-16,670,Tersertifikasi,Low,460000000,0,0,2,0,Low
GCN-0009,Mie Gacoan,https://www.google.com/maps/place/Mie+Gacoan/data=!4m7!3m6!1s0x30312ff2d1883d8b:0x2b06a55a5301a10f!8m2!3d3.5672593!4d98.6459741!16s%2Fg%2F11t7f8gklv!19sChIJiz2I0fIvMTARD6EBU1qlBis?authuser=0&hl=id&rclk=1,"Jl. Dr. Mansyur, Padang Bulan Selayang I, Kec. Medan Selayang, Kota Medan, Sumatera Utara 20154",Kota Medan,Sumatra Utara,4.7,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-10-16,884,Tersertifikasi,Medium,410000000,1,0,2,0,Medium
GCN-0010,Mie Gacoan Medan Krakatau,https://www.google.com/maps/place/Mie+Gacoan+Medan+Krakatau/data=!4m7!3m6!1s0x303131003ee805b1:0x1c17d09128278b9d!8m2!3d3.6187904!4d98.680566!16s%2Fg%2F11y84fr4t4!19sChIJsQXoPgAxMTARnYsnKJHQFxw?authuser=0&hl=id&rclk=1,"Jl. Gunung Krakatau No.159-161, Glugur Darat I, Kec. Medan Tim., Kota Medan, Sumatera Utara 20238",Kota Medan,Sumatra Utara,4.8,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-03-14,668,Menunggu Audit,Low,330000000,0,0,0,0,Low
GCN-0011,Mie Gacoan Medan Mongonsidi,https://www.google.com/maps/place/Mie+Gacoan+Medan+Mongonsidi/data=!4m7!3m6!1s0x303131868b574bf1:0xe1e48475003c4c8c!8m2!3d3.5709801!4d98.6690468!16s%2Fg%2F11jt5ty4pl!19sChIJ8UtXi4YxMTARjEw8AHWE5OE?authuser=0&hl=id&rclk=1,"Jl. Mongonsidi No.1-11, Polonia, Kec. Medan Polonia, Kota Medan, Sumatera Utara 20152",Kota Medan,Sumatra Utara,4.7,92,Restoran Mie,Buka 24 jam,0897-9192-129,Tidak Ada,Buka,Approved,2027-12-15,578,Tersertifikasi,Medium,310000000,1,0,2,0,Medium
GCN-0012,Mie Gacoan Kapten Muslim,https://www.google.com/maps/place/Mie+Gacoan+Kapten+Muslim/data=!4m7!3m6!1s0x30312f0033c3f813:0x892bc8e3df9e7bcf!8m2!3d3.600983!4d98.6450171!16s%2Fg%2F11vqc8fq15!19sChIJE_jDMwAvMTARz3ue3-PIK4k?authuser=0&hl=id&rclk=1,"Jl. Kapten Muslim, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20118",Kota Medan,Sumatra Utara,4.8,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2026-03-09,0,Tersertifikasi,Low,770000000,0,0,2,0,Low
